"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",bcprov-jdk15on-1.60.jar,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/bcprov-jdk15on-1.60.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,435ff931af9ed4430d2a27456b0386b2,bd47ad3bd14b8e82595c7adaa143501e60842a84,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.60,"cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.60:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.60:*:*:*:*:*:*:*",CVE-2020-0187,CWE-310 Cryptographic Issues,"In engineSetMode of BaseBlockCipher.java, there is a possible incorrect cryptographic algorithm chosen due to an incomplete comparison. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10Android ID: A-148517383",OSSINDEX,MEDIUM,5.5,/AV:L/AC:L/Au:/C:H/I:N/A:N,"","","",HIGH,48
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",bcprov-jdk15on-1.60.jar,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/bcprov-jdk15on-1.60.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,435ff931af9ed4430d2a27456b0386b2,bd47ad3bd14b8e82595c7adaa143501e60842a84,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.60,"cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.60:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.60:*:*:*:*:*:*:*",CVE-2020-26939,CWE-203 Information Exposure Through Discrepancy,"In Legion of the Bouncy Castle BC before 1.61 and BC-FJA before 1.0.1.2, attackers can obtain sensitive information about a private exponent because of Observable Differences in Behavior to Error Inputs. This occurs in org.bouncycastle.crypto.encodings.OAEPEncoding. Sending invalid ciphertext that decrypts to a short payload in the OAEP Decoder could result in the throwing of an early exception, potentially leaking some information about the private exponent of the RSA private key performing the encryption.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,48
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-1.8.2.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/html/jquery-1.8.2.min.js,"","",1d14cd3798bc4d6aaf65dd625870723f,0809f9f5caa2642b9dea8bf59133180bfd7c1d6f,pkg:javascript/jquery@1.8.2.min,"",CVE-2012-6708,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 1.9.0 is vulnerable to Cross-site Scripting (XSS) attacks. The jQuery(strInput) function does not differentiate selectors from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input to be HTML if it explicitly starts with the '<' character, limiting exploitability only to attackers who can control the beginning of a string, which is far less common.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-1.8.2.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/html/jquery-1.8.2.min.js,"","",1d14cd3798bc4d6aaf65dd625870723f,0809f9f5caa2642b9dea8bf59133180bfd7c1d6f,pkg:javascript/jquery@1.8.2.min,"",CVE-2015-9251,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 3.0.0 is vulnerable to Cross-site Scripting (XSS) attacks when a cross-domain Ajax request is performed without the dataType option, causing text/javascript responses to be executed.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-1.8.2.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/html/jquery-1.8.2.min.js,"","",1d14cd3798bc4d6aaf65dd625870723f,0809f9f5caa2642b9dea8bf59133180bfd7c1d6f,pkg:javascript/jquery@1.8.2.min,"",CVE-2019-11358,CWE-1321,"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-1.8.2.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/html/jquery-1.8.2.min.js,"","",1d14cd3798bc4d6aaf65dd625870723f,0809f9f5caa2642b9dea8bf59133180bfd7c1d6f,pkg:javascript/jquery@1.8.2.min,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-1.8.2.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/html/jquery-1.8.2.min.js,"","",1d14cd3798bc4d6aaf65dd625870723f,0809f9f5caa2642b9dea8bf59133180bfd7c1d6f,pkg:javascript/jquery@1.8.2.min,"",CVE-2020-11023,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-3.3.1.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/timeline/jquery-3.3.1.min.js,"","",a09e13ee94d51c524b7e2a728c7d4039,0dc32db4aa9c5f03f3b38c47d883dbd4fed13aae,pkg:javascript/jquery@3.3.1.min,"",CVE-2019-11358,CWE-1321,"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-3.3.1.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/timeline/jquery-3.3.1.min.js,"","",a09e13ee94d51c524b7e2a728c7d4039,0dc32db4aa9c5f03f3b38c47d883dbd4fed13aae,pkg:javascript/jquery@3.3.1.min,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
reqmgr/reqmgr_dev/Dev_979,"Mon, 5 Dec 2022 00:56:37 -0500",cucumber-core-4.5.4.jar: jquery-3.3.1.min.js,/home/jenkins/agent/workspace/reqmgr/reqmgr_dev/com.ibm.security.access.reqmgr.cucumber/libs/cucumber-core-4.5.4.jar/io/cucumber/formatter/timeline/jquery-3.3.1.min.js,"","",a09e13ee94d51c524b7e2a728c7d4039,0dc32db4aa9c5f03f3b38c47d883dbd4fed13aae,pkg:javascript/jquery@3.3.1.min,"",CVE-2020-11023,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
